Zipcode,Latitude,Longitude,City,County,Metro,State,MedianPriceAll,MedianPrice1Bed,MedianPrice2Bed,MedianPrice3Bed,MedianPrice4Bed,MedianPrice5PlusBed
55358,45.253055,-93.991526,Maple Lake,Wright,Minneapolis-St Paul,MN,211400,,190900,207800,237400,
55359,45.00976,-93.69811,Independence,Hennepin,Minneapolis-St Paul,MN,359400,,275200,346400,442000,679000
55360,44.91596,-93.919645,Mayer,Carver,Minneapolis-St Paul,MN,242200,,217300,233500,263500,
55362,45.292082,-93.838711,Monticello,Wright,Minneapolis-St Paul,MN,214700,,182400,218300,237100,287400
55363,45.037192,-93.91832,Montrose,Wright,Minneapolis-St Paul,MN,189100,,175600,197100,212500,
55364,44.936989,-93.677783,Mound,Hennepin,Minneapolis-St Paul,MN,325400,143900,207600,306300,457600,651600
55368,44.740063,-93.899747,Norwood Young America,Carver,Minneapolis-St Paul,MN,184400,,158300,188800,202400,
55369,45.127446,-93.445399,Maple Grove,Hennepin,Minneapolis-St Paul,MN,247300,191300,190100,247400,275700,303800
55371,45.578639,-93.592062,Princeton,Sherburne,Minneapolis-St Paul,MN,192400,,211000,232000,240300,303600
55372,44.682387,-93.413588,Prior Lake,Scott,Minneapolis-St Paul,MN,350600,182500,233100,327600,412800,491600
55373,45.088621,-93.721142,Rockford,Wright,Minneapolis-St Paul,MN,231400,,197600,219100,278600,362600
55374,45.175548,-93.575531,Rogers,Hennepin,Minneapolis-St Paul,MN,318600,,216700,301400,330800,355300
55375,44.908107,-93.721559,Saint Bonifacius,Hennepin,Minneapolis-St Paul,MN,326200,,148300,285800,356000,375900
55376,45.211249,-93.687899,Saint Michael,Wright,Minneapolis-St Paul,MN,266000,,202000,256300,294600,324400
55378,44.757299,-93.366971,Savage,Scott,Minneapolis-St Paul,MN,302600,,213100,280600,333500,380500
55379,44.753976,-93.514608,Shakopee,Scott,Minneapolis-St Paul,MN,256000,,172100,246500,338900,371400
55384,44.937621,-93.635153,Spring Park,Hennepin,Minneapolis-St Paul,MN,224800,,311000,435400,,
55386,44.863217,-93.666882,Victoria,Carver,Minneapolis-St Paul,MN,391000,,281000,317700,432600,507600
55387,44.869263,-93.778944,Waconia,Carver,Minneapolis-St Paul,MN,278900,,182500,257600,332300,372400
55388,44.955978,-93.840285,Watertown,Carver,Minneapolis-St Paul,MN,231100,,184900,226800,260300,290500
55390,45.065173,-93.979556,Waverly,Wright,Minneapolis-St Paul,MN,200000,,178300,202300,224000,
55391,44.956401,-93.538993,Wayzata,Hennepin,Minneapolis-St Paul,MN,573000,295800,369500,503600,692800,1063200
55397,44.823812,-93.937971,Norwood Young America,Carver,Minneapolis-St Paul,MN,185000,,,183000,213500,
55398,45.464819,-93.612029,Zimmerman,Sherburne,Minneapolis-St Paul,MN,224500,156200,203800,225300,250700,284900
55401,44.984577,-93.269097,Minneapolis,Hennepin,Minneapolis-St Paul,MN,322700,180100,329400,,,
55403,44.97057,-93.284044,Minneapolis,Hennepin,Minneapolis-St Paul,MN,227900,167700,247800,467900,882900,1046500
55404,44.961996,-93.261208,Minneapolis,Hennepin,Minneapolis-St Paul,MN,197500,140700,186000,194200,214900,
55405,44.972669,-93.301675,Minneapolis,Hennepin,Minneapolis-St Paul,MN,358200,141000,281200,357500,581300,864700
55406,44.938689,-93.221042,Minneapolis,Hennepin,Minneapolis-St Paul,MN,232200,177200,219900,252900,279400,313900
55407,44.935036,-93.253029,Minneapolis,Hennepin,Minneapolis-St Paul,MN,222200,144300,212500,232200,251000,261400
55408,44.940425,-93.292639,Minneapolis,Hennepin,Minneapolis-St Paul,MN,241700,132600,228700,314200,375700,494200
55409,44.930326,-93.281477,Minneapolis,Hennepin,Minneapolis-St Paul,MN,274500,,234200,303400,363500,399700
55410,44.911823,-93.319643,Minneapolis,Hennepin,Minneapolis-St Paul,MN,407200,283800,371300,417700,498300,618400
55411,44.999009,-93.298363,Minneapolis,Hennepin,Minneapolis-St Paul,MN,149100,110100,126700,145600,164100,183600
