Zipcode,Latitude,Longitude,City,County,Metro,State,MedianPriceAll,MedianPrice1Bed,MedianPrice2Bed,MedianPrice3Bed,MedianPrice4Bed,MedianPrice5PlusBed
98404,47.208981,-122.411638,Tacoma,Pierce,Seattle,WA,225200,163300,191000,226500,252300,277000
98405,47.245647,-122.472399,Tacoma,Pierce,Seattle,WA,242600,173200,220100,246800,267600,296700
98407,47.290365,-122.517747,Tacoma,Pierce,Seattle,WA,347800,246200,288000,339600,427000,491400
98408,47.197399,-122.446518,Tacoma,Pierce,Seattle,WA,228300,159700,197600,234300,244700,279000
98409,47.210957,-122.481577,Tacoma,Pierce,Seattle,WA,215100,164200,184900,223900,242400,268200
98418,47.223229,-122.446523,Tacoma,Pierce,Seattle,WA,216700,165000,194000,224200,238900,264300
98444,47.153041,-122.448831,Parkland,Pierce,Seattle,WA,232700,157300,188400,235000,260600,289800
98498,47.159194,-122.553122,Lakewood,Pierce,Seattle,WA,290000,172700,220200,279200,344800,418400
98501,46.974504,-122.875987,Olympia,Thurston,Olympia,WA,296100,203300,235900,294700,371800,414000
98502,47.08739,-123.022009,Olympia,Thurston,Olympia,WA,314100,263100,249100,318700,376300,453000
98506,47.108292,-122.870623,Olympia,Thurston,Olympia,WA,288300,230400,241700,298400,380700,423400
98512,46.975003,-123.063616,Tumwater,Thurston,Olympia,WA,299300,210100,226800,306300,350400,413900
98513,46.97703,-122.733942,Lacey,Thurston,Olympia,WA,259600,224200,225700,253700,299600,333100
98584,47.238866,-123.145661,Shelton,Mason,Shelton,WA,219300,169200,188100,223300,248400,342800
98597,46.844426,-122.492804,Yelm,Thurston,Olympia,WA,224800,163900,196400,221800,264000,388400
98626,46.172049,-122.773959,Kelso,Cowlitz,Longview,WA,157900,84900,110300,166100,188300,201900
98632,46.209509,-123.056153,Longview,Cowlitz,Longview,WA,163200,106500,119500,165900,205000,225600
98661,45.640067,-122.625018,Vancouver,Clark,Portland,WA,277600,198100,232300,278600,330600,411900
98663,45.657396,-122.662726,Vancouver,Clark,Portland,WA,282000,210900,240800,289200,335400,419500
98801,47.423594,-120.336633,Wenatchee,Chelan,Wenatchee,WA,263200,154500,197100,282100,330700,355100
98802,47.48609,-120.180328,East Wenatchee Bench,Douglas,Wenatchee,WA,306400,350100,272700,309100,410700,480400
98901,46.722625,-120.406039,Yakima,Yakima,Yakima,WA,177500,89300,107500,205300,229700,213900
98902,46.596673,-120.533851,Yakima,Yakima,Yakima,WA,170900,109100,144600,191600,212100,232000
98903,46.543655,-121.023317,Yakima,Yakima,Yakima,WA,192400,119300,135300,227000,308400,301900
98926,47.014195,-120.458691,Ellensburg,Kittitas,Ellensburg,WA,246600,175400,184700,253400,302300,341800
99019,47.643175,-117.07562,Liberty Lake,Spokane,Spokane,WA,319900,107100,224600,299200,387100,439100
99025,47.793859,-117.075344,Newman Lake,Spokane,Spokane,WA,238900,178200,215700,261300,237800,383200
99114,48.655198,-117.735834,Colville,Stevens,Spokane,WA,162600,140200,146200,184500,196100,257500
99201,47.66236,-117.437255,Spokane,Spokane,Spokane,WA,142000,119800,133600,136200,139000,197500
99202,47.657497,-117.37897,Spokane,Spokane,Spokane,WA,146300,95500,123400,161100,171400,200800
99203,47.628641,-117.402997,Spokane,Spokane,Spokane,WA,247200,142100,195800,241900,300200,405000
99205,47.696825,-117.444879,Spokane,Spokane,Spokane,WA,152200,105400,137000,159000,169700,181700
99206,47.629296,-117.254657,Spokane Valley,Spokane,Spokane,WA,213000,111000,164300,212200,236200,275100
99207,47.68875,-117.387464,Spokane,Spokane,Spokane,WA,124700,89100,113900,132100,143600,156800
99208,47.788172,-117.480897,Spokane,Spokane,Spokane,WA,233900,94700,142700,230300,244700,318400
99212,47.664705,-117.310362,Spokane Valley,Spokane,Spokane,WA,175500,99000,141000,184900,229800,286000
99217,47.740709,-117.261376,Spokane,Spokane,Spokane,WA,177000,112900,134600,177300,212000,307300
99223,47.589407,-117.344623,Spokane,Spokane,Spokane,WA,265200,146000,188400,260400,292600,383200
99362,46.101083,-118.313609,Walla Walla,Walla Walla,Walla Walla,WA,232600,141400,171500,247400,289200,326400
99501,61.220018,-149.855702,Anchorage,Anchorage,Anchorage,AK,245000,137200,204300,270800,444400,522200
99517,61.190346,-149.939108,Anchorage,Anchorage,Anchorage,AK,284300,119700,203700,289300,367000,503500
99577,61.20142,-149.248298,Anchorage,Anchorage,Anchorage,AK,322100,241300,254100,301600,367700,489700
