Latitude,Longitude,City,County,Metro,State,MedianPrice,MedianPrice1Bed,MedianPrice2Bed,MedianPrice3Bed,MedianPrice4Bed,MedianPrice5PlusBed
37.8806341,-84.5729961,Nicholasville,Jessamine,Lexington,KY,142600.0,108100.0,101400.0,135800.0,224200.0,261100.0
32.50650231,-93.76941098,Shreveport,Caddo,Shreveport,LA,101900.0,53500.0,55300.0,110700.0,212400.0,251600.0
29.9546482,-90.075072,"New Orleans",Orleans,"New Orleans",LA,170100.0,261500.0,320200.0,189500.0,293800.0,622900.0
41.7001095,-70.2994664,Barnstable,Barnstable,"Cape Cod",MA,361800.0,190600.0,283100.0,362200.0,505200.0,1249100.0
41.7601093,-70.082796,Brewster,Barnstable,"Cape Cod",MA,422200.0,129100.0,319100.0,439600.0,568700.0,807100.0
41.8301081,-69.973907,Eastham,Barnstable,"Cape Cod",MA,441200.0,285700.0,370500.0,449700.0,490800.0,621000.0
41.6862224,-70.0758508,Harwich,Barnstable,"Cape Cod",MA,368300.0,290200.0,322100.0,377300.0,433000.0,544100.0
41.6484421,-70.4811383,Mashpee,Barnstable,"Cape Cod",MA,378900.0,333100.0,337700.0,411000.0,520500.0,1224200.0
41.7898313,-69.9897397,Orleans,Barnstable,"Cape Cod",MA,633600.0,180600.0,395300.0,644700.0,885800.0,1390000.0
41.993437,-70.0497457,Truro,Barnstable,"Cape Cod",MA,661100.0,326800.0,493300.0,654700.0,875700.0,1226500.0
41.9376051,-70.0327996,Wellfleet,Barnstable,"Cape Cod",MA,561400.0,310100.0,436100.0,571800.0,702900.0,924700.0
42.4500846,-73.2453824,Pittsfield,Berkshire,Pittsfield,MA,156600.0,118700.0,137300.0,159000.0,188500.0,239400.0
41.9445441,-71.2856082,Attleboro,Bristol,Providence,MA,292100.0,188300.0,226300.0,289800.0,365400.0,402300.0
42.0245442,-71.1286594,Easton,Bristol,Providence,MA,406500.0,230400.0,245000.0,395800.0,554100.0,680200.0
41.6376043,-70.9036487,Fairhaven,Bristol,Providence,MA,260500.0,233000.0,240800.0,265200.0,293100.0,338400.0
41.7014912,-71.1550451,"Fall River",Bristol,Providence,MA,233800.0,125400.0,195000.0,241400.0,245300.0,273600.0
42.0334326,-71.2189405,Mansfield,Bristol,Providence,MA,422900.0,104200.0,288100.0,415800.0,526000.0,552900.0
41.6362152,-70.934205,"New Bedford",Bristol,Providence,MA,224200.0,141500.0,192600.0,233400.0,228600.0,266700.0
41.9667666,-71.1869939,Norton,Bristol,Providence,MA,335600.0,212200.0,252400.0,339500.0,459000.0,517400.0
41.7481575,-71.1897684,Swansea,Bristol,Providence,MA,281000.0,193900.0,235700.0,284300.0,330600.0,348500.0
41.900101,-71.0897675,Taunton,Bristol,Providence,MA,274700.0,171400.0,210800.0,284500.0,322100.0,316800.0
41.4542786,-70.6036395,"Vineyard Haven",Dukes,"Vineyard Haven",MA,649100.0,504800.0,522000.0,611700.0,766600.0,1227300.0
42.5584284,-70.8800491,Beverly,Essex,Boston,MA,429900.0,222200.0,358600.0,428000.0,543900.0,756300.0
42.5750946,-70.9300507,Danvers,Essex,Boston,MA,431500.0,171300.0,352000.0,433000.0,527800.0,580800.0
42.6159286,-70.6619888,Gloucester,Essex,Boston,MA,422500.0,250800.0,350400.0,438600.0,584600.0,1109700.0
42.7762015,-71.0772796,Haverhill,Essex,Boston,MA,292500.0,124600.0,227800.0,315500.0,381700.0,423500.0
42.466763,-70.9494939,Lynn,Essex,Boston,MA,319200.0,163200.0,280200.0,326800.0,354200.0,453900.0
42.500096,-70.8578253,Marblehead,Essex,Boston,MA,627600.0,276900.0,463300.0,607000.0,762900.0,1238300.0
42.7262016,-71.1908924,Methuen,Essex,Boston,MA,333500.0,168900.0,258400.0,338800.0,402000.0,416900.0
42.8125913,-70.8772751,Newburyport,Essex,Boston,MA,493400.0,251000.0,380600.0,520900.0,668800.0,802000.0
42.6987024,-71.1350575,"North Andover",Essex,Boston,MA,485800.0,208400.0,280700.0,441500.0,643100.0,705500.0
42.5278731,-70.9286609,Peabody,Essex,Boston,MA,406800.0,240900.0,322300.0,412300.0,473900.0,538800.0
42.6556507,-70.6203216,Rockport,Essex,Boston,MA,501300.0,266800.0,429000.0,519400.0,670000.0,1052100.0
42.51954,-70.8967155,Salem,Essex,Boston,MA,355200.0,214200.0,323500.0,391400.0,421400.0,532900.0
42.4648183,-71.010051,Saugus,Essex,Boston,MA,400900.0,233700.0,353700.0,405700.0,475200.0,542900.0
42.4709296,-70.9175487,Swampscott,Essex,Boston,MA,481800.0,195800.0,289700.0,481600.0,590000.0,888900.0
42.0695391,-72.6148117,Agawam,Hampden,Springfield,MA,198300.0,69800.0,166900.0,213100.0,231500.0,267900.0
42.1487043,-72.6078672,Chicopee,Hampden,Springfield,MA,174400.0,100800.0,150200.0,181200.0,193800.0,220500.0
42.2042587,-72.6162009,Holyoke,Hampden,Springfield,MA,182700.0,71900.0,160300.0,184700.0,205900.0,306900.0
42.0548167,-72.7703724,Southwick,Hampden,Springfield,MA,238600.0,142500.0,187900.0,240100.0,339600.0,378500.0
42.1014831,-72.589811,Springfield,Hampden,Springfield,MA,144600.0,87300.0,128600.0,148500.0,152900.0,171600.0
42.10702155,-72.63512522,"West Springfield",Hampden,Springfield,MA,211200.0,75000.0,172000.0,211900.0,252000.0,292100.0
42.1250929,-72.749538,Westfield,Hampden,Springfield,MA,223200.0,156900.0,177000.0,222700.0,288700.0,301500.0
42.3753677,-72.519254,Amherst,Hampshire,Springfield,MA,316500.0,132500.0,186500.0,289700.0,387100.0,487600.0
